,sigma_a,center_a,amplitude_a,gamma_a,fwhm_a,height_a,sigma_b,center_b,amplitude_b,gamma_b,fwhm_b,height_b,sigma_g,center_g,amplitude_g,gamma_g,fwhm_g,height_g
5016,0.023171101251040493,6564.126837805596,41.03078045996761,36.75354303216726,73.5073538562878,0.35535343778351847,0.006081652890843614,4861.702541368806,52.65299873604403,36.27932417103222,72.55887276455331,0.4619702805079388,14.402785391192152,4341.915411342944,34.674810271821976,15.117657944999152,52.88277910369161,0.48966050514465187
5017,0.0004387641868164316,6565.692812335976,24.880540964895697,17.160669216796045,34.32144318583179,0.46150427221091955,0.012583797768905836,4863.298612768899,20.853670317635466,13.377063734587335,26.754244359347915,0.49621678441780104,0.0003290668916799966,4342.217475446732,15.811070078366185,10.179075987721253,20.35821412247323,0.49442797341329503
5018,0.015935365557129266,6565.363800710624,36.940759392156465,33.866724946556495,67.73367889074869,0.34720234486391255,0.010348107225710557,4862.865360910688,45.08981128585295,32.13865625346107,64.27751854987892,0.4465815588954684,6.7704810595444975,4342.235647006023,33.6217000362666,20.942267439930827,47.574161306449994,0.469074808813946
5019,0.015935365557129266,6565.363800710624,36.940759392156465,33.866724946556495,67.73367889074869,0.34720234486391255,0.010348107225710557,4862.865360910688,45.08981128585295,32.13865625346107,64.27751854987892,0.4465815588954684,6.7704810595444975,4342.235647006023,33.6217000362666,20.942267439930827,47.574161306449994,0.469074808813946
5020,0.015935365557129266,6565.363800710624,36.940759392156465,33.866724946556495,67.73367889074869,0.34720234486391255,0.010348107225710557,4862.865360910688,45.08981128585295,32.13865625346107,64.27751854987892,0.4465815588954684,6.7704810595444975,4342.235647006023,33.6217000362666,20.942267439930827,47.574161306449994,0.469074808813946
5021,0.015935365557129266,6565.363800710624,36.940759392156465,33.866724946556495,67.73367889074869,0.34720234486391255,0.010348107225710557,4862.865360910688,45.08981128585295,32.13865625346107,64.27751854987892,0.4465815588954684,6.7704810595444975,4342.235647006023,33.6217000362666,20.942267439930827,47.574161306449994,0.469074808813946
5022,0.01561152769351537,6564.584519200736,49.81887334634212,40.19654536153461,80.39335407287123,0.3945074724723915,0.02393371843760761,4862.777749417521,63.18695939596326,39.44418444938294,78.88865285429623,0.5099110738194967,16.39421812086215,4342.419511497204,42.623188010043364,18.037674754631674,61.38391064575675,0.5153005422591183
5023,0.005128926255870692,6565.239822800611,61.02218089698111,48.04116607076425,96.08262693211552,0.40431914591749324,0.04736273471398489,4863.9168314988,76.17043962496965,44.468978408381055,88.93837843482717,0.5452289962910309,24.703181533339645,4342.301569494149,44.37028857986498,10.685684176287868,70.44038694146423,0.5235022849070258
5024,0.03235603871204473,6564.659579536037,31.161026477264166,28.250387211420502,56.50105719749389,0.3511049142716643,0.0030380400583784883,4863.39009856831,35.94172870412011,27.95422838542957,55.90862833822561,0.40926214382270776,0.011648723638302272,4342.273301371502,30.583463904787205,21.209726081111423,42.41960064580833,0.45898829343468434
5025,0.03235603871204473,6564.659579536037,31.161026477264166,28.250387211420502,56.50105719749389,0.3511049142716643,0.0030380400583784883,4863.39009856831,35.94172870412011,27.95422838542957,55.90862833822561,0.40926214382270776,0.011648723638302272,4342.273301371502,30.583463904787205,21.209726081111423,42.41960064580833,0.45898829343468434
