,sigma_a,center_a,amplitude_a,gamma_a,fwhm_a,height_a,chi2_a,sigma_b,center_b,amplitude_b,gamma_b,fwhm_b,height_b,chi2_b,sigma_g,center_g,amplitude_g,gamma_g,fwhm_g,height_g,chi2_g,Teff,logg
533,0.006210225201586095,6564.246849782328,37.14882778622689,32.45979177278158,64.91978516263323,0.36429188438539206,0.0009300053475203261,0.00020945462965160644,4863.175399385887,46.56727300471415,31.320938805992647,62.64206874459459,0.4732560368376036,0.0003993459259639097,4.833266992306939,4342.935983862522,37.57424713149236,22.424252954626866,47.74999892059335,0.5114227620286215,0.0008392428700735874,19903.0,7.986
534,0.006210225201586095,6564.246849782328,37.14882778622689,32.45979177278158,64.91978516263323,0.36429188438539206,0.0009300053475203261,0.00020945462965160644,4863.175399385887,46.56727300471415,31.320938805992647,62.64206874459459,0.4732560368376036,0.0003993459259639097,4.833266992306939,4342.935983862522,37.57424713149236,22.424252954626866,47.74999892059335,0.5114227620286215,0.0008392428700735874,19903.0,7.986
535,0.0008493107271911882,6565.160164682435,36.78097282061741,34.69667336697676,69.39355852391728,0.3374314056398229,0.001663704366899974,0.011015583486606584,4863.122181578049,46.41213156228049,32.05253096543235,64.10526880009061,0.4609133233866645,0.0009153332017157905,10.70395452284708,4342.011574405119,36.30189524782489,19.956485890757,52.648487433458115,0.4790088098791425,0.0012226608983142183,20522.0,8.022
536,0.004387299708541459,6566.376903185252,32.157935883698954,27.917139746869466,55.83445190504334,0.36666323094168635,0.001145658613959882,0.0017131701210315597,4864.489634897329,43.175237488145484,31.93150006173775,63.863195251493906,0.430393337759862,0.0006386664133936841,9.045724000200684,4343.421387476912,31.131689211154136,20.106014870148513,49.851731461477726,0.4259507939909296,0.0008503139839282182,24993.0,8.316
537,0.002386527864983723,6566.297577882841,54.26921028394839,46.17432062563175,92.34892338627313,0.37411327050543486,0.0014661502438783388,0.00482011026978757,4863.6186743990975,68.24705162141649,42.86051437152505,85.72129190358882,0.5068467160925548,0.0007217430969440506,13.326495574022633,4344.670287521973,49.53191994642786,25.136981432589845,66.02019559557593,0.5205331863026311,0.001239672520338429,16463.0,8.339
538,0.002386527864983723,6566.297577882841,54.26921028394839,46.17432062563175,92.34892338627313,0.37411327050543486,0.0014661502438783388,0.00482011026978757,4863.6186743990975,68.24705162141649,42.86051437152505,85.72129190358882,0.5068467160925548,0.0007217430969440506,13.326495574022633,4344.670287521973,49.53191994642786,25.136981432589845,66.02019559557593,0.5205331863026311,0.001239672520338429,17322.0,8.42
539,0.002386527864983723,6566.297577882841,54.26921028394839,46.17432062563175,92.34892338627313,0.37411327050543486,0.0014661502438783388,0.00482011026978757,4863.6186743990975,68.24705162141649,42.86051437152505,85.72129190358882,0.5068467160925548,0.0007217430969440506,13.326495574022633,4344.670287521973,49.53191994642786,25.136981432589845,66.02019559557593,0.5205331863026311,0.001239672520338429,16463.0,8.339
540,0.002386527864983723,6566.297577882841,54.26921028394839,46.17432062563175,92.34892338627313,0.37411327050543486,0.0014661502438783388,0.00482011026978757,4863.6186743990975,68.24705162141649,42.86051437152505,85.72129190358882,0.5068467160925548,0.0007217430969440506,13.326495574022633,4344.670287521973,49.53191994642786,25.136981432589845,66.02019559557593,0.5205331863026311,0.001239672520338429,17322.0,8.42
541,0.0002573069821099061,6563.920996126443,49.79809411538079,38.66068587182504,77.32160766621553,0.410008909875197,0.0025076679513907326,0.00655618041180972,4862.940611982396,61.08771111048005,37.49817383760049,74.9965799130868,0.5185538330642158,0.0017312228960010133,11.455338613313536,4343.629163675276,44.34872875977004,21.1684514666155,56.038233747131734,0.5503348765739314,0.002511955587952743,11776.0,8.024
542,2.6652687723505153e-06,6564.580903059215,51.44622094032836,40.22486182759572,80.44996911766106,0.40710744519867004,0.0014661932372321016,0.0028602176836867166,4863.1206726703,63.31427994055957,38.12223034728627,76.24469396544555,0.5286564019115875,0.0011211238017174018,13.268479428226565,4343.269595645515,49.468356672711145,23.038470251529276,62.52845870648697,0.5540688642877126,0.001444688165353925,14689.0,7.967
543,2.6652687723505153e-06,6564.580903059215,51.44622094032836,40.22486182759572,80.44996911766106,0.40710744519867004,0.0014661932372321016,0.0028602176836867166,4863.1206726703,63.31427994055957,38.12223034728627,76.24469396544555,0.5286564019115875,0.0011211238017174018,13.268479428226565,4343.269595645515,49.468356672711145,23.038470251529276,62.52845870648697,0.5540688642877126,0.001444688165353925,14689.0,7.967
544,0.019251771178208088,6565.986203159686,30.200968619769046,29.002480874978342,58.00517679547215,0.3314634596116068,0.00045481913086916926,0.005300348951897682,4863.472033021224,42.00069139641743,30.388836956296327,60.77786210678535,0.4399390115044156,0.0003660651400344342,0.005740026204814619,4343.3361928324075,35.38175427262059,23.797289903554685,47.594729148306385,0.4732623574323796,0.00045806839952239656,23476.0,8.103
545,0.007468174310376607,6563.912969267118,47.89522939023241,38.12310785196933,76.24645269868438,0.39990245522733975,0.0024544222078049243,0.015055651568829376,4864.652600616215,62.80779247982602,39.203471853112895,78.4072001582959,0.5099634645123153,0.0017381548014118082,0.007016168660989308,4343.311067603798,49.55864088460666,27.24509421860608,54.4903600756323,0.5790034773483078,0.002426027149596252,11833.0,8.131
546,0.0015256007799169247,6566.595658837051,53.59331339429734,43.29944070809218,86.59914580063577,0.3939838756943844,0.0009029623870581822,0.009014520901262646,4863.5685894620565,67.60567754895706,41.93806235277915,83.8763863940119,0.513127057485437,0.0006165639341390104,9.39199712501767,4343.504140871399,52.8194286378646,28.376397101388374,64.789603153588,0.5419827162046477,0.0009362034653648961,14964.0,8.095
547,0.0021311136776169803,6564.366306029396,49.4774836561038,39.62089076040218,79.24202363912127,0.39749667015085643,0.0010445890712908537,0.00010285653081476553,4862.751810035279,64.35686755477445,38.6772623561791,77.3547607317914,0.5296503924634136,0.0008616571488003663,0.0030553017583256903,4342.4209782335365,51.83276579531954,29.245814204300192,58.49180782483602,0.564145059719549,0.0012136797631438882,12517.0,8.04
